Year;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Temperatura ;lluvia;Perdidas (qq);Produccion efectiva (qq)
1;Hombre;0.3;350;5;No;No;No;No;Si;Si;No;No;13.27608;-88.40868;15;0;Si;Si;Si;Si;Si;Si;28;66;0.12056;0.55
1;Hombre;0.22;250;6;No;No;No;No;Si;Si;No;No;13.9256229;-88.091379;823;0;Si;Si;Si;No;Si;Si;30;126;0;0.2
1;Hombre;0.12;150;4;No;No;Si;No;No;Si;No;No;13.74507333;-88.16086333;928;0;Si;Si;Si;Si;Si;Si;29;127;0.15664;1.012
1;Mujer;0.7;300;5;No;Si;No;No;No;Si;Si;No;14.1525735;-89.657698;895;0;Si;No;Si;Si;Si;Si;29;103;1.22584;3.5024
1;Hombre;0.3;200;5;No;Si;No;No;No;No;Si;No;13.7832312;-88.949428;637;0;Si;Si;Si;Si;Si;Si;21;34;0.10912;0.81
1;Hombre;0.36;150;4;No;No;No;No;No;Si;No;No;13.695847;-88.27633;797;0;No;No;Si;Si;Si;Si;23;91;0.02288;0.12
1;Hombre;3;3000;8;No;No;No;No;No;Si;Si;No;13.6672222;-89.66472222;193;0;Si;Si;Si;Si;Si;No;24;134;5.6628;34.27688
1;Mujer;1.4;1200;5.2;No;No;No;No;No;Si;No;No;13.9589722;-89.51191829;672;0;Si;No;Si;Si;Si;No;30;145;2.05832;5.88104
1;Hombre;1;800;5;No;Si;No;No;No;No;Si;No;13.4931814;-88.417369;897;0;Si;No;No;No;Si;Si;20;24;0.6204;2.95
1;Mujer;1.2;1200;61;No;Si;No;No;No;No;Si;No;13.702732;-88.951163;676;0;Si;Si;Si;Si;Si;Si;27;149;0.81488;4.77
1;Hombre;0.5;500;6;Si;No;Si;No;No;No;No;No;13.67705567;-89.74657072;151;0;Si;Si;Si;Si;Si;No;24;71;0.7964;5.2052
1;Hombre;5.59;4500;6;No;No;Si;No;No;Si;No;No;13.4955404;-88.675651;29;100;Si;Si;Si;Si;Si;Si;22;104;2.08912;24.5
1;Mujer;0.7;500;7;No;No;No;No;No;Si;No;No;13.90942333;-89.037305;491;0;Si;Si;Si;Si;Si;No;29;32;1.4608;2.50448
