Sexo productor;Area (Ha);Total_Arboles;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
Hombre;0.7;500;12.8;No;No;No;No;Si;Si;No;No;13.3917;-88.5838;665.9;0;Si;Si;Si;Si;Si;Si;0.26488;5.77
Hombre;11;11000;4;No;Si;No;No;No;No;No;No;13.5139;-88.518175;827;2.727272727;Si;Si;No;Si;Si;Si;1.35872;7.542856
Hombre;0.6;550;8;No;Si;No;No;No;No;Si;No;13.618116;-88.8625;922;0;Si;Si;Si;Si;Si;Si;0.91344;5.43
Hombre;2;900;4;No;Si;No;No;No;No;No;No;13.90877;-89.5823;1022;0;Si;Si;Si;Si;Si;No;2.09264;11.067479
Mujer;0.35;300;4;No;Si;No;No;No;No;No;No;13.508608;-88.51662;943;0;Si;Si;No;Si;No;Si;0.4576;2.526303
Hombre;1;250;8;Si;No;No;No;No;No;No;No;13.7553;-89.4017;475;0;Si;Si;Si;No;No;No;1.59192;3.385966
Hombre;6;3000;7;No;Si;No;No;No;No;Si;No;13.6093246;-88.886038;810;0;No;Si;No;Si;No;Si;3.12752;18.08
Hombre;0.13;150;7;No;No;No;No;No;Si;No;No;13.5601;-88.0951;166;0;Si;Si;Si;Si;Si;Si;0.2728;1.201681
Hombre;0.7;400;5;No;Si;No;No;No;Si;Si;No;14.1506246;-89.660322;879;0;Si;Si;Si;Si;Si;No;1.3156;5.083109
Mujer;0.6;50;4;No;Si;No;No;No;Si;No;No;13.4975317;-88.383035;620;0;Si;Si;Si;Si;No;Si;0.09856;0.7
Hombre;1.2;1200;6;No;No;No;No;Si;Si;No;No;13.75793722;-88.95573279;660;0;Si;Si;Si;Si;Si;Si;1.54792;9
