Sexo_productor;Area_Ha;Cantidad_plantas_patron;Cantidad_plantas_injerto;Edad_plantas_patron;Edad_plantas_injerto;Densidad_plantas_Ha;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_injertacion;Injertacion;Aplica_poda;Maneja_sombra;Fertilizacion_organica;Fertilizacion_quimica;Plagas_enfermedades;AT;Perdidas_qq;Produccion_qq
1;0.5;300.0;0.0;5.0;;600.00;0;1;0;0;0;0;0;0;13.5124216;-88.38623;519;0.00;0;1;1;0;1;1;1;0.8668;4.65
0;0.35;425.0;0.0;7.0;;1214.29;0;0;0;0;0;0;1;0;13.747342;-89.666439;434;0.00;0;1;1;1;1;0;1;0.70488;2.2176
0;0.7;550.0;0.0;5.0;;785.71;0;1;0;0;0;0;0;0;13.816889;-89.09061;605;0.00;0;1;1;1;1;1;0;0.77;0.8008
0;13;11000.0;0.0;6.0;;846.15;0;0;0;0;0;1;0;0;13.803529;-88.173576;779;0.00;0;1;1;1;0;1;1;4.7168;30.712
0;0.5;100.0;0.0;12.0;;200.00;0;1;0;0;0;0;1;0;13.5080868;-88.871947;200;0.00;0;;;;;;0;0.21736;2.27
1;0.7;650.0;0.0;6.0;;928.57;0;1;0;0;0;0;0;0;13.764488;-89.721994;469;0.00;0;1;1;1;1;0;0;1.7952;5.56688
0;13.3;7500.0;250.0;6.4;5.0;582.71;0;1;0;0;0;0;1;0;13.458779;-88.536863;949;3.23;1;0;0;1;0;1;1;0.16808;5.2
0;3;1500.0;0.0;5.3;;500.00;0;0;0;0;1;1;0;0;13.803878;-88.233978;957;0.00;0;0;1;1;1;1;1;1.23112;4.4
1;0.7;300.0;0.0;5.0;;428.57;0;0;0;0;0;1;1;0;13.8560289;-88.942948;544;0.00;0;1;1;1;1;1;0;0.704;0.9196
0;1;1040.0;0.0;6.0;;1040.00;0;1;0;0;0;0;0;0;13.727542;-89.454825;626;0.00;0;1;0;0;1;1;1;0.77792;3.98376
0;0.3;350.0;0.0;5.0;;1166.67;0;0;0;0;1;1;0;0;13.27608;-88.40868;15;0.00;0;1;1;1;1;1;1;0.12056;0.55
0;0.22;250.0;0.0;6.0;;1136.36;0;0;0;0;1;1;0;0;13.9256229;-88.091379;823;0.00;0;1;1;1;0;1;1;0;0.2
0;0.12;150.0;0.0;4.0;;1250.00;0;0;1;0;0;1;0;0;13.74507333;-88.16086333;928;0.00;0;1;1;1;1;1;1;0.15664;1.012
1;0.7;300.0;0.0;5.0;;428.57;0;1;0;0;0;1;1;0;14.1525735;-89.657698;895;0.00;0;1;0;1;1;1;1;1.22584;3.5024
0;0.3;200.0;0.0;5.0;;666.67;0;1;0;0;0;0;1;0;13.7832312;-88.949428;637;0.00;0;1;1;1;1;1;1;0.10912;0.81
0;0.36;150.0;0.0;4.0;;416.67;0;0;0;0;0;1;0;0;13.695847;-88.27633;797;0.00;0;0;0;1;1;1;1;0.02288;0.12
0;3;3000.0;0.0;8.0;;1000.00;0;0;0;0;0;1;1;0;13.6672222;-89.66472222;193;0.00;0;1;1;1;1;1;0;5.6628;34.27688
1;1.4;1200.0;0.0;5.2;;857.14;0;0;0;0;0;1;0;0;13.9589722;-89.51191829;672;0.00;0;1;0;1;1;1;0;2.05832;5.88104
0;1;800.0;0.0;5.0;;800.00;0;1;0;0;0;0;1;0;13.4931814;-88.417369;897;0.00;0;1;0;0;0;1;1;0.6204;2.95
1;1.2;1200.0;0.0;61.0;;1000.00;0;1;0;0;0;0;1;0;13.702732;-88.951163;676;0.00;0;1;1;1;1;1;1;0.81488;4.77
0;0.5;500.0;0.0;6.0;;1000.00;1;0;1;0;0;0;0;0;13.67705567;-89.74657072;151;0.00;0;1;1;1;1;1;0;0.7964;5.2052
0;5.59;0.0;4500.0;;6.0;805.01;0;0;1;0;0;1;0;0;13.4955404;-88.675651;29;100.00;1;1;1;1;1;1;1;2.08912;24.5
1;0.7;500.0;0.0;7.0;;714.29;0;0;0;0;0;1;0;0;13.90942333;-89.037305;491;0.00;0;1;1;1;1;1;0;1.4608;2.50448
0;0.7;600.0;0.0;5.0;;857.14;0;0;0;0;0;0;1;0;13.888387;-88.89836;419;0.00;0;;;;;;0;0.8624;1.144
1;0.7;400.0;0.0;3.0;;571.43;0;1;0;0;0;0;0;0;13.9150873;-89.737418;1217;0.00;0;;;;;;0;0.35728;4.01816
0;0.5;425.0;0.0;7.0;;850.00;0;1;0;0;0;0;1;0;13.769056;-89.652689;584;0.00;0;1;1;1;1;0;0;1.19416;3.29648
1;0.35;300.0;0.0;5.0;;857.14;0;0;0;0;0;0;1;0;13.8882656;-88.89883;421;0.00;0;;;;;;0;0.2552;0.6072
0;1.75;500.0;0.0;13.0;;285.71;0;0;0;0;1;1;0;0;13.3918;-88.5846;786.9;0.00;0;1;1;1;1;1;1;0.30008;9.266667
1;0.7;450.0;0.0;4.0;;642.86;0;1;0;0;0;0;0;0;13.521559;-88.45975;648;0.00;0;1;1;0;1;0;1;0.30536;1.61744
0;0.2;50.0;0.0;5.0;;250.00;0;0;0;0;0;1;0;0;13.7366037;-88.222612;1206;0.00;0;1;1;1;1;0;1;0.0264;0.176
0;0.4;0.0;300.0;;3.0;750.00;0;1;0;0;0;0;0;0;13.4796117;-88.35549;896;100.00;1;1;1;1;1;1;1;0.31768;1.6
0;1;1200.0;0.0;6.5;;1200.00;0;1;0;0;0;0;1;0;13.705905;-88.9508;698;0.00;0;1;1;1;1;1;1;0.84392;4.95344
0;0.35;200.0;0.0;4.0;;571.43;0;1;0;0;0;0;0;0;13.7431271;-88.945765;708;0.00;0;1;0;1;0;1;1;0.06512;0.53
0;0.63;700.0;0.0;4.0;;1111.11;0;0;0;1;0;1;0;1;13.3287584;-88.712133;13;0.00;0;1;1;1;0;0;1;0.30712;1.67
0;0.3;200.0;0.0;5.0;;666.67;0;1;0;0;0;0;1;0;13.7833838;-88.949414;637;0.00;0;1;0;1;1;1;0;0.13904;0.89
0;0.2;200.0;0.0;4.0;;1000.00;0;0;0;0;1;1;0;0;13.7599096;-88.2089268;1105;0.00;0;1;1;1;1;1;1;0.03696;0.176
0;2.1;900.0;0.0;6.0;;428.57;0;1;0;0;0;1;0;0;13.788082;-89.35011;481;0.00;0;;;;;;0;1.5576;2.0064
0;0.45;55.0;0.0;6.0;;122.22;0;1;0;0;0;0;0;0;13.6293858;-88.935516;570;0.00;0;;;;;;1;0.13904;1.14
0;1.5;1000.0;0.0;5.0;;666.67;0;0;0;0;0;1;0;0;13.903018;-89.050313;565;0.00;0;1;1;1;1;1;0;0.9636;3.7532
0;0.35;300.0;0.0;15.0;;857.14;0;0;0;0;0;1;0;0;13.3744292;-88.571558;147;0.00;0;0;1;1;0;1;1;0.09328;1.19
0;1.25;500.0;0.0;6.0;;400.00;0;1;0;0;0;0;0;0;13.6111821;-88.907823;834;0.00;0;1;1;1;1;1;1;0.2728;3.23
0;0.5;400.0;0.0;4.0;;800.00;1;1;0;1;0;0;0;1;13.305181;-88.56554;25;0.00;0;1;1;1;1;0;1;0.50864;2.43
0;0.5;500.0;0.0;6.0;;1000.00;0;0;0;0;1;1;0;0;13.9468183;-88.168191;1025;0.00;0;1;1;1;0;1;1;1.49688;8.478
1;2;1800.0;0.0;8.0;;900.00;0;0;0;0;1;1;0;0;13.673864;-89.434867;974;0.00;0;1;0;0;1;1;1;1.22408;5.89688
0;0.7;600.0;0.0;6.0;;857.14;0;0;0;0;1;1;0;0;13.8970974;-88.964602;346;0.00;0;1;1;1;1;1;0;0.792;1.5136
0;0.5;500.0;0.0;4.0;;1000.00;0;1;0;0;0;0;0;0;13.7800257;-88.9539;606;0.00;0;0;0;0;0;1;1;0.11792;0.81
1;1;721.0;0.0;3.0;;721.00;1;0;0;1;0;0;0;1;13.349501;-88.735722;15;0.00;0;1;1;1;1;1;1;0.88792;7.35
0;0.7;500.0;0.0;6.2;;714.29;0;0;0;0;0;1;0;0;13.887518;-89.060708;577;0.00;0;1;1;1;1;1;1;0.34056;2.06
0;2.5;2300.0;0.0;3.0;;920.00;1;1;0;0;0;0;0;0;13.736199;-89.667459;389;0.00;0;;;;;;1;8.46912;33.38
0;1.4;1100.0;0.0;6.0;;785.71;0;1;0;0;0;0;1;0;13.6004287;-88.875613;991;0.00;0;1;1;1;1;1;1;0.44616;3.46
0;1;300.0;0.0;7.0;;300.00;0;1;0;0;0;0;0;0;13.60349;-88.9358;621;0.00;0;1;1;1;0;1;1;0.16632;1.81
0;0.5;100.0;0.0;4.0;;200.00;0;1;0;0;0;0;0;0;13.482555;-88.38623;637;0.00;0;;;;;;1;0.53152;2.9
0;0.35;300.0;0.0;6.0;;857.14;0;1;0;0;0;0;1;0;13.740269;-88.990525;702;0.00;0;1;1;1;1;1;1;0.25784;1.79832
0;0.7;500.0;0.0;4.0;;714.29;0;0;0;0;0;1;0;0;13.511638;-89.404716;42;0.00;0;1;1;1;1;1;0;0.88;1.7688
1;0.4;200.0;0.0;6.0;;500.00;0;0;0;0;0;1;0;0;13.7968783;-88.167235;714;0.00;0;1;1;1;0;1;1;0.264;0.84
0;3.5;0.0;2500.0;;8.0;714.29;1;1;0;0;0;1;0;0;13.70690167;-89.71488;220;100.00;1;1;1;1;1;1;0;5.34952;28.20576
0;0.25;180.0;0.0;7.0;;720.00;0;1;0;0;0;0;1;0;13.685324;-88.962793;610;0.00;0;1;1;1;1;1;1;0.19448;1.34
0;1;850.0;0.0;4.0;;850.00;0;1;0;0;0;1;0;0;13.9861703;-89.565872;667;0.00;0;;;;;;1;1.02608;2.93392
0;2;1250.0;750.0;4.0;3.0;1000.00;1;1;0;0;0;0;0;0;13.47479817;-89.09598265;55;37.50;1;1;1;1;1;1;0;1.19592;8.33
0;0.03;30.0;0.0;10.0;;1000.00;1;0;0;0;0;1;0;0;13.5873975;-88.571213;49;0.00;0;1;1;1;1;1;1;0.05544;0.28776
0;1.5;500.0;0.0;13.0;;333.33;0;1;0;0;0;0;0;0;13.32619212;-88.4192077;65;0.00;0;1;1;1;0;1;1;0.19976;3.66
0;14;12500.0;1500.0;9.0;7.0;1000.00;1;1;0;0;0;1;0;0;13.75402833;-89.67589;469;10.71;1;1;1;1;1;1;0;22.69784;102.35544
0;0.35;200.0;0.0;5.0;;571.43;0;1;0;0;0;1;0;0;13.8730354;-89.105913;819;0.00;0;1;1;1;1;1;0;0.374;0.572
0;1;800.0;0.0;4.0;;800.00;0;0;0;0;1;1;0;0;13.75545333;-88.19406833;920;0.00;0;1;1;1;1;1;1;0.11176;0.924
1;0.09;100.0;0.0;4.0;;1111.11;0;0;0;0;1;1;0;0;13.809893;-88.254601;928;0.00;0;1;1;1;1;1;1;0.02376;0.11
0;5;3000.0;0.0;4.0;;600.00;0;1;0;0;0;0;1;0;13.6228;-89.2958;754;0.00;0;1;1;1;1;1;0;1.5312;4.90512
0;0.5;400.0;0.0;5.0;;800.00;1;1;0;1;0;0;0;1;13.298781;-88.563582;25;0.00;0;1;1;1;1;0;1;0.2552;1.59
0;0.35;200.0;0.0;8.0;;571.43;0;1;0;0;0;0;1;0;13.379;-88.512;212;0.00;0;1;1;1;1;1;1;0.2332;1.36
0;4.2;3600.0;200.0;5.0;4.0;904.76;0;1;0;0;0;0;0;0;13.7744177;-89.17045;444;5.26;1;1;1;1;1;1;0;0.99088;5.99
1;1;900.0;0.0;5.0;;900.00;0;0;0;0;1;1;0;0;13.7880068;-89.080402;654;0.00;0;1;1;1;1;1;0;1.01552;2.29768
0;1.2;1200.0;0.0;6.0;;1000.00;1;0;1;0;0;0;0;0;13.921778;-89.832917;8;0.00;0;0;1;1;1;0;0;1.22848;6.46712
0;4.2;4000.0;0.0;5.0;;952.38;0;1;0;0;0;0;0;0;13.725098;-89.031638;698;0.00;0;1;1;0;1;1;1;1.27424;8.09
0;0.7;50.0;0.0;6.0;;71.43;0;1;0;0;0;0;0;0;13.5995986;-88.953434;511;0.00;0;;;;;;1;0.27632;2.4
0;0.5;55.0;0.0;12.0;;110.00;0;0;0;0;1;1;0;0;13.5080668;-88.871945;200;0.00;0;;;;;;1;0.20064;1.03
0;1.4;980.0;0.0;4.0;;700.00;0;1;0;0;0;0;0;0;13.913551;-89.58928;986;0.00;0;;;;;;0;1.03576;2.95944
0;0.7;500.0;0.0;7.0;;714.29;0;1;0;0;0;1;0;0;13.8087419;-89.146634;486;0.00;0;1;1;1;1;1;0;0.8844;1.2892
0;0.06;50.0;0.0;4.0;;833.33;0;0;0;0;1;1;0;0;13.7960388;-88.239932;1050;0.00;0;;;;;;1;0.04576;0.286
0;0.35;250.0;0.0;4.0;;714.29;0;0;1;0;0;1;0;0;13.9889806;-89.806507;542;0.00;0;1;1;1;1;1;0;0.17424;0.94336
0;0.35;300.0;0.0;4.0;;857.14;0;0;0;0;1;1;0;0;13.7826904;-89.075755;628;0.00;0;1;1;1;1;1;0;0.44;0.5456
0;2.8;1800.0;0.0;6.0;;642.86;0;0;0;0;0;1;0;0;13.8880355;-88.957344;399;0.00;0;1;1;1;1;1;0;0.858;1.4168
