Sexo productor;Area (Ha);Total arboles patron;Total de injertos;Edad Promedio plantas patron;Edad promedio plantas njerto;Edad promedio plantas patron;Edad promedio plantas injerto;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
Hombre;0.22;250;0;6;0;6;;6;No;No;No;No;Si;Si;No;No;13.9256229;-88.091379;823;No;Si;Si;Si;Si;Si;No;0.02024;0.831933
Hombre;0.12;150;0;4;0;4;;4;No;No;Si;No;No;Si;No;No;13.74507333;-88.16086333;928;No;Si;Si;Si;Si;Si;Si;0.242;1.65
Mujer;0.7;300;0;5;0;5;;5;No;Si;No;No;No;Si;Si;No;14.1525735;-89.657698;895;No;Si;Si;Si;Si;Si;No;1.88848;6.560253
Hombre;0.3;200;0;5;0;5;;5;No;Si;No;No;No;No;Si;No;13.7832312;-88.949428;637;No;Si;Si;Si;Si;Si;Si;0.29304;1.81
Hombre;0.36;150;0;4;0;4;;4;No;No;No;No;No;Si;No;No;13.695847;-88.27633;797;No;Si;Si;Si;No;Si;Si;0.1056;0.15
Hombre;3;3000;0;8;0;8;;8;No;No;No;No;No;Si;Si;No;13.6672222;-89.66472222;193;No;Si;Si;Si;Si;Si;No;15.19408;63.052436
Mujer;1.4;1200;0;5;0;5.2;;5.2;No;No;No;No;No;Si;No;No;13.9589722;-89.51191829;672;No;Si;Si;Si;Si;Si;No;1.84008;9.3121
Hombre;1;800;0;5;0;5;;5;No;Si;No;No;No;No;Si;No;13.4931814;-88.417369;897;No;Si;Si;No;Si;No;Si;0.92136;4.973614
Mujer;1.2;1200;0;61;0;61;;61;No;Si;No;No;No;No;Si;No;13.702732;-88.951163;676;No;Si;Si;Si;Si;No;Si;1.21968;7.3
Hombre;0.5;500;0;6;0;6;;6;Si;No;Si;No;No;No;No;No;13.67705567;-89.74657072;151;No;Si;Si;Si;Si;Si;Si;6.70736;12.931009
Mujer;0.7;500;0;7;0;7;;7;No;No;No;No;No;Si;No;No;13.90942333;-89.037305;491;No;Si;Si;Si;Si;Si;No;1.33848;4.600588
Mujer;0.3;300;0;4;0;4;;4;No;Si;No;No;No;No;No;No;13.5223058;-88.45819;645;No;Si;Si;No;Si;Si;Si;0.21824;1.213698
Hombre;1;700;0;4;0;4;;4;No;No;No;No;No;Si;No;No;13.546905;-88.432988;500;No;Si;Si;No;Si;No;Si;0.4664;2.575294
Hombre;0.5;425;0;7;0;7;;7;No;Si;No;No;No;No;Si;No;13.769056;-89.652689;584;No;Si;Si;Si;Si;No;No;3.27096;8.095631
Hombre;1.75;500;0;14;0;14;;14;No;No;No;No;Si;Si;No;No;13.3918;-88.5846;786.9;No;Si;Si;Si;Si;Si;Si;0.26488;6.9
Mujer;0.7;450;0;4;0;4;;4;No;Si;No;No;No;No;No;No;13.521559;-88.45975;648;No;Si;Si;Si;Si;Si;Si;0.33264;1.808068
Hombre;1;1200;0;6;0;6.5;;6.5;No;Si;No;No;No;No;Si;No;13.705905;-88.9508;698;No;Si;Si;Si;Si;Si;Si;1.59192;9.711932
Hombre;0.35;200;0;4;0;4;;4;No;Si;No;No;No;No;No;No;13.7431271;-88.945765;708;No;Si;Si;Si;Si;Si;Si;0.11528;0.83
Hombre;0.3;200;0;5;0;5;;5;No;Si;No;No;No;No;Si;No;13.7833838;-88.949414;637;No;Si;Si;Si;Si;No;Si;0.2288;1.39
Hombre;0.2;200;0;4;0;4;;4;No;No;No;No;Si;Si;No;No;13.7599096;-88.2089268;1105;No;Si;Si;Si;Si;Si;Si;0.05984;0.33
Hombre;1.5;1000;0;5;0;5;;5;No;No;No;No;No;Si;No;No;13.903018;-89.050313;565;No;Si;Si;Si;Si;No;No;1.45728;4.86958
Hombre;0.35;300;0;15;0;15;;15;No;No;No;No;No;Si;No;No;13.3744292;-88.571558;147;No;Si;Si;No;Si;Si;No;0.1012;2.56
Hombre;1.25;500;0;6;0;6;;6;No;Si;No;No;No;No;No;No;13.6111821;-88.907823;834;No;Si;Si;Si;Si;Si;Si;0.23232;5.03
Hombre;0.5;400;0;4;0;4;;4;Si;Si;No;Si;No;No;No;Si;13.305181;-88.56554;25;No;Si;Si;Si;Si;Si;Si;0.18392;1.44
Hombre;0.5;500;0;6;0;6;;6;No;No;No;No;Si;Si;No;No;13.9468183;-88.168191;1025;No;Si;Si;Si;No;Si;Si;0.44704;3.773109
Mujer;2;1800;0;8;0;8;;8;No;No;No;No;Si;Si;No;No;13.673864;-89.434867;974;No;Si;Si;No;Si;Si;No;4.13864;19.149245
Hombre;0.7;600;0;6;0;6;;6;No;No;No;No;Si;Si;No;No;13.8970974;-88.964602;346;No;Si;Si;Si;No;No;No;1.2012;4.001596
Hombre;0.5;500;0;5;0;5;;5;No;Si;No;No;No;No;No;No;13.7800257;-88.9539;606;No;Si;No;No;No;Si;No;0.43472;2.83
Mujer;1;721;0;4;0;4;;4;Si;No;No;Si;No;No;No;Si;13.349501;-88.735722;15;No;Si;Si;Si;Si;Si;No;1.24872;9.5
Hombre;0.7;500;0;6;0;6.2;;6.2;No;No;No;No;No;Si;No;No;13.887518;-89.060708;577;No;Si;Si;Si;Si;Si;No;0.76736;4.52
Hombre;1.4;1100;0;6;0;6;;6;No;Si;No;No;No;No;Si;No;13.6004287;-88.875613;991;No;Si;Si;Si;Si;Si;Si;1.2848;7.5
Hombre;1;300;0;7;0;7;;7;No;Si;No;No;No;No;No;No;13.60349;-88.9358;621;No;Si;Si;Si;Si;Si;Si;0.16368;2.95
Hombre;0.35;300;0;6;0;6;;6;No;Si;No;No;No;No;Si;No;13.740269;-88.990525;702;No;Si;Si;Si;Si;Si;Si;0.37576;2.31
Hombre;0.7;500;0;4;0;4;;4;No;No;No;No;No;Si;No;No;13.511638;-89.404716;42;No;Si;Si;Si;Si;Si;No;1.23552;3.657731
Mujer;0.4;200;0;6;0;6;;6;No;No;No;No;No;Si;No;No;13.7968783;-88.167235;714;No;Si;Si;Si;No;Si;Si;0.46376;2.856303
Hombre;0.25;180;0;7;0;7;;7;No;Si;No;No;No;No;Si;No;13.685324;-88.962793;610;No;Si;Si;Si;Si;Si;Si;0.26928;1.7
