Sexo productor;Area (Ha);total arboles;Total de injertos;Edad promedio plantas patron;Edad promedio plantas injerto;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
Hombre;2.5;0;2600;;10;10;Si;Si;No;No;No;Si;No;No;13.7047462;-89.714227;212;Si;Si;Si;Si;Si;Si;No;4.99488;26.80832
Mujer;1.2;1000;0;32;;32;No;Si;No;No;No;No;Si;No;13.62882;-88.873072;678;No;Si;Si;Si;No;Si;Si;1.32352;8.38464
Mujer;0.5;35;0;19;;19;No;No;No;No;Si;Si;No;No;13.6223679;-89.019296;766;No;Si;Si;Si;Si;Si;Si;0.14432;1.33
Hombre;1;800;0;9;;9;No;No;No;No;Si;Si;No;No;13.9323375;-88.086314;837;No;Si;Si;Si;Si;Si;Si;1.13168;6.808
Hombre;27;0;26000;;8;8;Si;Si;No;No;No;No;No;No;13.389457;-88.911459;6;Si;Si;Si;Si;Si;Si;Si;47.7576;25
Hombre;0.7;600;0;5;;5;No;No;No;No;Si;Si;No;No;13.7873058;-89.074704;612;No;Si;Si;Si;Si;Si;No;0.704;1.3772
Hombre;0.35;200;0;5;;5;No;No;No;No;Si;Si;No;No;13.7945466;-89.071401;646;No;Si;Si;Si;Si;Si;No;0.9856;1.1132
Hombre;1;400;400;7;6;6.5;No;Si;No;No;No;No;No;No;13.6625233;-88.963976;512;Si;Si;Si;Si;Si;Si;Si;0.26752;2.3
Hombre;2.5;2100;0;3;;3;No;Si;No;No;No;Si;No;No;13.9662051;-89.668249;765;No;Si;Si;Si;Si;Si;No;2.55464;7.30136
Mujer;1;1000;0;4;;4;No;Si;No;No;No;No;Si;No;13.7928785;-88.950008;581;No;Si;Si;Si;Si;Si;Si;0.45848;3.58
Mujer;1.05;300;0;18;;18;No;No;No;No;Si;Si;No;No;13.3916;-88.5836;771;No;Si;No;Si;No;Si;Si;0.22;2.43
Hombre;0.7;500;0;5;;5;No;No;No;No;Si;Si;No;No;13.7577755;-88.199316;981;No;Si;Si;Si;Si;Si;Si;0.15752;0.66
Mujer;0.7;400;0;5;;5;No;No;No;No;No;Si;No;No;13.875589;-89.958017;1026;No;Si;Si;Si;Si;Si;No;0.55;0.5896
Hombre;0.7;350;0;11.9;;11.9;No;No;No;No;Si;Si;No;No;13.376;-89.021;891;No;Si;Si;Si;No;Si;Si;0.29832;5.323334
Hombre;1;800;0;6;;6;Si;Si;No;Si;No;No;No;Si;13.296757;-88.55199;27;No;Si;Si;Si;No;No;Si;0.86944;4.63
Hombre;1;1000;0;7;;7;No;Si;No;No;No;No;Si;No;13.75886;-89.654032;497;No;Si;No;Si;Si;No;Si;1.81984;5.7288
Hombre;0.35;350;0;10;;10;No;Si;No;No;No;No;Si;No;13.394;-88.5842;728.2;No;Si;Si;Si;No;Si;Si;0.17864;2.21
Hombre;10.48;9250;2000;6;5;5.8;Si;No;No;Si;No;No;No;Si;13.3424695;-88.724696;18;Si;Si;Si;Si;Si;Si;No;2.1164;23.5
Hombre;3;1500;1500;13;3;8;Si;Si;No;No;No;No;No;No;13.73392;-89.680593;380;Si;Si;Si;Si;No;No;Si;15.16328;46.64
Mujer;5;1000;0;4;;4;No;Si;No;No;No;No;No;No;13.4685917;-88.380413;507;No;No;No;Si;Si;Si;Si;0.81576;4.45
Hombre;1.05;600;0;13.5;;13.5;No;Si;No;No;No;No;No;No;13.3724;-89.032;918.8;No;Si;Si;Si;No;Si;Si;0.35992;5.42
Hombre;0.35;300;0;4;;4;No;No;No;No;No;Si;Si;No;13.8569683;-88.952133;603;No;Si;Si;Si;Si;No;No;0.704;1.1836
Hombre;0.5;600;0;6.5;;6.5;Si;No;No;Si;No;No;No;Si;13.3017209;-88.75601;6;No;Si;Si;Si;No;No;Si;0.31504;2.05
Hombre;0.5;200;0;6;;6;No;Si;No;No;No;No;No;No;13.4808403;-88.35483;909;No;Si;No;No;Si;Si;Si;0.30008;1.49
Mujer;4.19;4000;350;6;5;5.9;Si;No;No;Si;No;No;No;Si;13.351173;-88.731821;7;Si;Si;Si;Si;Si;Si;No;1.32264;17.43
Mujer;1.4;600;0;16;;16;No;Si;No;No;No;No;Si;No;13.756859;-89.594405;596;No;Si;Si;Si;Si;No;No;1.47312;4.70624
Hombre;0.5;300;100;5;4;4.8;No;No;No;No;Si;Si;No;No;13.66615821;-88.78389016;623;Si;Si;Si;Si;Si;Si;Si;0.29832;1.9
Mujer;0.2;150;0;14;;14;No;Si;No;No;No;Si;No;No;13.5311716;-88.408954;509;No;No;Si;No;Si;Si;Si;0.34672;1.81
Mujer;0.05;50;0;6;;6;No;No;No;No;No;Si;No;No;13.8070785;-88.174595;752;No;Si;Si;Si;No;Si;Si;0.06072;0.5236
Mujer;1;800;0;4;;4;No;Si;No;No;No;No;Si;No;13.7018079;-88.953556;670;No;Si;Si;No;Si;Si;Si;0.23936;1.9
Hombre;1;800;0;4;;4;No;No;No;No;No;Si;No;No;13.9169308;-89.517694;816;No;Si;Si;Si;Si;Si;Si;0.94424;2.69984
Hombre;0.7;400;0;4;;4;No;No;No;No;Si;Si;No;No;13.8883689;-88.957423;391;No;Si;Si;Si;Si;Si;No;0.8096;1.078
Hombre;1.4;850;0;5;;5;No;No;No;No;No;Si;No;No;13.856;-89.471;595;No;Si;Si;Si;Si;Si;No;0.946;1.3728
Hombre;0.2;200;0;7;;7;No;No;No;No;Si;Si;No;No;13.7775619;-88.160689;916;No;Si;Si;Si;Si;Si;Si;0.19184;1
Hombre;1.05;1100;0;6;;6;No;Si;No;No;No;No;No;No;13.7715296;-89.081254;655;No;Si;Si;Si;Si;Si;No;1.7732;6.1248
Hombre;1.4;500;0;5;;5;No;No;No;No;Si;Si;No;No;13.8881281;-88.963857;369;No;Si;Si;Si;Si;Si;No;0.3608;1.0252
Hombre;2.1;2500;0;4;;4;No;Si;No;No;No;No;Si;No;13.6235499;-88.875549;705;No;Si;Si;Si;Si;Si;Si;0.60808;4.62
Hombre;1.4;500;0;6;;6;No;Si;No;No;No;No;No;No;13.788365;-89.1105;605;No;Si;Si;Si;Si;Si;No;1.3948;3.05448
Hombre;0.7;500;0;6;;6;No;No;No;No;No;Si;No;No;13.7972304;-88.184138;1053;No;Si;Si;Si;No;Si;Si;0.9064;3.376
Hombre;0.5;500;0;11;;11;No;No;No;No;No;Si;No;No;13.927612;-88.642694;602;No;No;Si;No;Si;Si;Si;0.26752;2.01
Hombre;0.35;180;0;5;;5;No;No;No;No;Si;Si;No;No;13.3055;-88.1859;41;No;Si;No;No;Si;Si;Si;0.02992;0.15
Hombre;0.1;115;0;6;;6;No;No;No;No;No;Si;No;No;13.8068175;-88.172954;764;No;Si;Si;Si;Si;Si;Si;0.0264;0.088
Hombre;0.7;300;0;4;;4;No;No;No;No;No;Si;No;No;13.91143333;-89.074705;693.3;No;Si;No;Si;Si;Si;No;0.374;0.55
Hombre;1.4;250;0;2;;2;Si;No;Si;No;No;Si;No;No;14.0160221;-89.192502;273;No;Si;Si;Si;Si;Si;No;0.946;2.3584
Hombre;0.5;500;0;11;;11;Si;Si;No;No;No;No;No;No;13.732154;-89.68216;366;No;Si;Si;Si;No;No;No;1.0428;4.38
Hombre;3.5;3100;0;21;;21;No;Si;No;No;No;No;Si;No;13.760663;-89.655201;507;No;Si;Si;Si;Si;No;Si;4.0172;12.81632
Hombre;0.1;100;0;6;;6;No;No;No;No;No;Si;No;No;13.4757;-88.1013;137;No;Si;Si;Si;Si;Si;Si;0.10384;0.45
Hombre;10.5;0;10500;;13;13;Si;No;No;No;No;Si;No;No;13.598874;-88.630359;35;Si;Si;Si;Si;Si;No;Si;55.47256;66.21296
Hombre;0.5;450;0;7;;7;No;No;No;No;No;No;Si;No;13.759549;-89.632617;571;No;Si;Si;Si;Si;No;No;0.61688;1.90168
Mujer;0.7;700;0;5;;5;No;No;Si;No;No;Si;Si;No;14.13621;-89.639796;1008;No;Si;No;Si;Si;Si;No;1.61568;4.62
Hombre;5.6;2900;2100;6;7;6.4;No;No;No;No;No;Si;No;No;13.983404;-89.517919;607;Si;Si;No;Si;Si;Si;Si;5.10928;15.44488
Mujer;0.5;125;0;5;;5;No;Si;No;No;No;Si;No;No;13.5191778;-88.360246;503;No;Si;Si;Si;Si;Si;Si;0.04048;0.21
Hombre;1;300;25;5;4;4.9;No;Si;No;No;No;No;No;No;13.4821097;-88.465495;895;Si;Si;Si;Si;Si;Si;Si;0.10824;1.24
Hombre;1;925;0;8;;8;Si;No;No;No;No;Si;Si;No;13.6758;-89.7111;194;No;Si;Si;Si;Si;Si;No;0.4488;2.99904
Hombre;4;3000;850;8;8;8;No;No;No;No;No;Si;Si;No;13.716707;-89.676256;316;Si;Si;Si;Si;Si;No;No;2.71744;11.6
Hombre;0.35;250;0;7;;7;No;No;No;No;No;No;Si;No;13.75141;-89.618802;548;No;Si;Si;Si;Si;No;No;0.81664;2.54408
Hombre;0.35;200;0;5;;5;Si;No;Si;No;No;No;No;No;13.7054892;-89.976293;8;No;Si;Si;Si;Si;No;No;0.17688;1.02256
Hombre;0.7;700;0;5;;5;No;No;No;No;No;Si;No;No;13.8883915;-88.957444;390;No;Si;Si;Si;Si;Si;No;0.6468;0.902
Hombre;1;800;0;3.5;;3.5;Si;Si;No;Si;No;No;No;Si;13.308282;-88.566122;28;No;Si;Si;No;No;No;Si;0.2332;1.25
Mujer;0.42;350;0;7;;7;No;No;No;No;No;Si;No;No;13.8880898;-88.111576;747;No;Si;Si;Si;Si;Si;Si;0.12936;2.086
Hombre;0.07;70;0;6;;6;No;No;No;No;No;Si;No;No;13.7994365;-88.176011;944;No;Si;Si;Si;Si;Si;Si;0.176;0.5
Hombre;0.7;750;0;8;;8;No;No;No;No;No;No;Si;No;13.76714;-89.639373;644;No;Si;Si;Si;Si;No;Si;1.51096;4.64288
Hombre;0.5;300;0;7;;7;No;No;No;No;No;Si;No;No;13.9511867;-89.742584;775;No;Si;Si;Si;Si;Si;No;0.19536;1.6236
Hombre;0.7;500;0;6;;6;No;No;No;No;No;Si;Si;No;13.91907;-88.992978;257;No;Si;Si;Si;Si;Si;No;0.6292;1.01024
Hombre;1.4;1500;0;8;;8;Si;Si;No;No;No;No;No;No;13.688156;-89.43955;910;No;Si;No;No;Si;Si;Si;3.09584;14.90632
Hombre;0.35;250;0;5;;5;No;Si;No;No;No;No;No;No;13.7750633;-89.141336;527;No;Si;Si;Si;Si;Si;No;0.2112;0.4796
Hombre;1.4;900;0;7.7;;7.7;No;Si;No;No;No;No;No;No;13.494343;-88.442876;858;No;Si;Si;No;No;Si;Si;0.10472;4.04
Hombre;2.1;1000;200;5.4;5;5.3;Si;Si;No;No;No;Si;No;No;13.529087;-88.531897;556;Si;Si;Si;Si;Si;Si;Si;0.09416;3.33
Mujer;0.7;600;0;5;;5;No;No;No;No;Si;Si;No;No;13.8986392;-88.963241;348;No;Si;Si;Si;Si;Si;No;0.946;1.4608
Hombre;1.5;275;0;15;;15;No;Si;No;No;No;No;No;No;13.6257742;-88.923713;616;No;Si;Si;Si;Si;Si;Si;0.23936;4.13
Hombre;0.7;650;0;8;;8;Si;Si;No;No;No;No;No;No;13.736436;-89.678;388;No;Si;Si;Si;No;No;Si;2.3452;8.03
Mujer;0.5;150;0;5;;5;No;Si;No;No;No;No;No;No;13.4820895;-88.355541;888;No;Si;Si;Si;Si;Si;Si;0.08272;0.42
Hombre;1;700;0;5.9;;5.9;No;Si;No;Si;No;No;No;Si;13.2771048;-88.424031;12;No;Si;Si;Si;Si;Si;Si;0.16544;3.04
Hombre;0.7;700;0;6;;6;No;Si;No;No;No;No;Si;No;13.7019152;-88.952112;672;No;Si;Si;Si;Si;No;Si;0.45232;2.78048
Hombre;1.2;0;1290;;5;5;No;No;No;No;Si;Si;No;No;13.712295;-89.724821;224;Si;Si;No;Si;Si;No;Si;1.36576;4.1668
Hombre;1.4;650;0;6;;6;Si;Si;No;No;No;No;Si;No;13.443879;-89.186468;9;No;Si;Si;Si;Si;Si;No;0.66;1.0824
Hombre;0.7;50;700;4;4;4;No;No;Si;No;No;Si;No;No;13.9990122;-89.624166;706;Si;Si;Si;Si;Si;Si;No;0.59048;2.7676
Hombre;4.19;2362;2300;6;5;5.5;Si;No;No;Si;No;No;No;Si;13.3428121;-88.76537;11;Si;Si;Si;Si;Si;Si;Si;1.3156;16.85
Hombre;1;0;600;;4;4;No;No;No;No;Si;Si;No;No;13.4759;-88.1503;101;Si;Si;Si;Si;Si;Si;Si;0.54296;2.86
Hombre;0.35;350;0;5;;5;No;No;No;No;No;Si;Si;No;13.85473;-88.942;535;No;Si;Si;Si;Si;Si;No;0.704;0.7964
Hombre;1.4;700;0;6;;6;No;No;No;No;No;Si;Si;No;13.8553367;-88.9424;544;No;Si;Si;Si;Si;Si;No;0.594;0.8976
Hombre;1.4;900;0;5;;5;No;No;No;No;No;Si;No;No;13.8586584;-88.961333;532;No;Si;Si;Si;Si;Si;No;0.616;1.0912
Hombre;0.5;250;0;12;;12;No;Si;No;No;No;No;No;No;13.2022;-88.2148;390;No;No;Si;No;Si;Si;Si;0.10912;0.55
Hombre;1;550;0;5;;5;Si;Si;No;No;No;No;No;No;13.429588;-88.909435;28;No;Si;Si;Si;Si;Si;No;1.07712;7.53
Hombre;1.5;600;0;6;;6;No;No;No;No;Si;Si;No;No;13.651274;-88.97704;706;No;Si;Si;Si;No;Si;Si;0.28424;2.65
Hombre;0.3;250;0;5;;5;No;No;No;No;No;Si;No;No;13.799264;-88.2799;874;No;No;Si;Si;No;Si;Si;0.29304;1.47
Mujer;0.2;200;0;6;;6;No;No;No;No;No;Si;No;No;13.4813;-88.1017;146;No;Si;Si;Si;No;Si;Si;0;0.08
Mujer;0.5;300;100;6;5;5.8;No;No;No;Si;No;Si;No;Si;13.3318756;-88.687538;9;Si;Si;Si;Si;No;No;Si;0.39424;2.35
Hombre;0.35;300;0;5;;5;No;Si;No;No;No;No;No;No;13.777191;-89.14259;539;No;Si;Si;Si;Si;Si;No;0.4576;0.5808
Mujer;1;500;0;7;;7;No;No;No;No;No;Si;No;No;13.38302354;-88.6546586;58;No;Si;Si;Si;Si;Si;Si;0.1188;2.09
Hombre;0.3;300;0;12;;12;No;Si;No;No;No;Si;No;No;13.5228;-88.4319;580;No;No;No;Si;No;Si;Si;3.16712;4.5
Mujer;0.5;400;0;4;;4;Si;Si;No;Si;No;No;No;Si;13.296972;-88.552321;26;No;Si;Si;Si;No;No;Si;0.38104;2.2968
Hombre;1;400;0;6;;6;No;No;No;No;No;Si;No;No;13.5414;-88.1013;256;No;Si;Si;Si;No;Si;Si;0.17864;0.65
Hombre;2;1800;0;8;;8;Si;Si;No;No;No;No;No;No;13.687671;-89.436964;920;No;Si;No;No;Si;Si;Si;1.0912;5.59856
Mujer;0.35;400;0;6;;6;Si;No;No;No;No;Si;No;No;13.584613;-88.572157;29;No;Si;Si;Si;Si;Si;Si;0.40656;2.11024
Hombre;2.1;1000;0;7;;7;No;Si;No;No;No;No;No;No;13.81502667;-89.09967499;553;No;Si;Si;Si;Si;Si;No;1.5532;3.3396
Hombre;0.7;500;0;5;;5;No;Si;No;No;No;No;No;No;13.7776497;-89.162414;492;No;Si;Si;Si;Si;Si;No;0.4048;0.80432
Mujer;0.3;300;0;5;;5;No;No;No;No;No;Si;No;No;13.7840352;-88.099312;520;No;Si;Si;Si;Si;Si;Si;0.1144;0.43
Hombre;0.5;400;0;5;;5;No;Si;No;No;No;No;No;No;13.7432511;-88.945829;709;No;Si;Si;No;Si;Si;Si;0.23056;1.59
Mujer;0.4;125;0;14;;14;No;Si;No;No;No;Si;No;No;13.5332934;-88.408855;509;No;Si;Si;No;Si;Si;Si;0.38456;2.15
Hombre;0.35;150;0;6;;6;No;Si;No;No;No;Si;No;No;13.791061;-89.877045;477;No;Si;No;Si;Si;Si;No;0.32384;2.60792
Hombre;0.06;60;0;6;;6;No;No;No;No;No;Si;No;No;13.9001862;-88.112952;825;No;Si;Si;Si;Si;Si;Si;0.0132;0.088
Mujer;1;400;0;8;;8;No;No;No;No;No;Si;No;No;13.5876763;-88.452938;396;No;Si;Si;Si;Si;Si;Si;0.08008;1.23
Hombre;0.7;250;0;7;;7;No;No;No;No;Si;Si;No;No;13.7820707;-89.119029;610;No;Si;Si;Si;Si;Si;No;1.2056;1.1792
Hombre;3.06;2000;0;6;;6;No;Si;No;No;No;Si;No;No;13.9117;-89.829;849;No;Si;Si;Si;Si;Si;No;6.59736;31.10096
Hombre;0.6;600;0;5;;5;No;Si;No;No;No;Si;No;No;13.477103;-88.559569;812.713379;No;Si;Si;Si;Si;Si;No;0.30888;1.42648
Hombre;2.19;1400;0;6;;6;No;Si;No;No;No;Si;No;No;13.9081;-89.8261;882;No;Si;Si;Si;Si;Si;No;2.34168;10.46584
Hombre;0.4;350;0;6;;6;No;Si;No;No;No;Si;No;No;13.9115;-89.8296;858;No;Si;Si;Si;Si;Si;No;0.07656;0.308
Hombre;0.7;700;0;5;;5;No;Si;No;No;No;No;No;No;13.9392;-89.7368;854;No;Si;Si;Si;Si;Si;No;0.47608;2.50008
Hombre;0.7;400;0;5;;5;No;Si;No;No;No;No;No;No;13.9206;-89.7431;1081;No;Si;Si;Si;Si;Si;No;0.30888;1.95976
Hombre;1.17;800;0;6;;6;No;Si;No;No;No;No;No;No;13.9393;-89.7366;850;No;Si;Si;Si;Si;Si;No;0.35288;1.73536
Hombre;1.88;1600;0;6;;6;No;Si;No;No;No;Si;No;No;13.952;-89.7535;792;No;Si;Si;Si;Si;Si;No;0.19712;0.836
Hombre;0.45;400;0;6;;6;No;Si;No;No;No;No;No;No;13.472511;-88.554775;844.755371;No;Si;Si;Si;Si;Si;No;0.4048;2.30384
Hombre;1.4;800;0;7;;7;No;No;No;No;No;Si;No;No;13.477184;-88.557883;838.891113;No;Si;Si;Si;Si;Si;No;0.26136;1.13608
Hombre;1.92;1600;0;5;;5;No;Si;No;No;No;Si;No;No;13.947;-89.7549;778;No;Si;Si;Si;Si;Si;No;0.1672;0.88792
Hombre;4.75;3200;0;5;;5;No;Si;No;No;No;Si;No;No;13.474195;-88.562206;745.705078;No;Si;Si;Si;Si;Si;No;0.23936;1.45112
Hombre;2.1;600;0;5;;5;No;Si;No;No;No;No;No;No;13.480453;-88.5546;923.788818;No;Si;Si;Si;Si;Si;No;0.49984;2.99208
Mujer;0.35;275;0;4;;4;No;Si;No;No;No;Si;No;No;13.7855;-89.8738;458;No;Si;No;Si;Si;Si;No;0.176;1.78528
Mujer;1.28;300;0;7;;7;No;Si;No;No;No;Si;No;No;13.8022;-89.8831;624;No;Si;No;Si;Si;Si;No;0.20328;1.9288
Hombre;0.92;100;0;7;;7;No;Si;No;No;No;Si;No;No;13.8014;-89.8762;562;No;Si;No;Si;Si;Si;No;0.1144;0.81752
Hombre;0.36;210;0;7;;7;No;Si;No;No;No;No;No;No;13.792;-89.8628;586;No;Si;No;Si;Si;Si;No;0.10296;0.67936
Hombre;1.31;800;0;5;;5;No;Si;No;No;No;Si;No;No;13.7977;-89.8781;552;No;Si;No;Si;Si;Si;No;3.96088;2.37
Hombre;1.4;1200;0;7;;7;No;No;No;No;Si;Si;No;No;13.9275;-89.8129;758;No;No;Si;Si;Si;No;No;1.81192;9.56208
Hombre;0.13;100;0;5;;5;No;Si;No;No;No;No;No;No;13.80113;-89.86276;624;No;Si;No;Si;Si;Si;No;0.24112;1.16648
Hombre;1.58;1600;0;5;;5;No;Si;No;No;No;No;No;No;13.8066;-89.8619;693;No;Si;Si;Si;Si;Si;No;0.39512;2.7392
Hombre;0.7;335;45;6;3;5.6;No;Si;No;No;No;Si;No;No;13.7894;-89.8481;576;Si;Si;No;Si;Si;Si;No;0.10648;1.0136
Mujer;1;600;0;7;;7;No;Si;No;No;No;Si;No;No;13.8067;-89.8786;601;No;Si;No;Si;Si;Si;No;0.09856;1.16472
Mujer;16;15400;600;6;3;5.9;No;Si;No;No;No;No;No;No;13.8182;-89.8664;801;Si;Si;Si;Si;Si;Si;No;9.34824;62.654
Hombre;0.7;600;0;7;;7;No;Si;No;No;No;No;No;No;13.814;-89.8703;768;No;Si;Si;Si;Si;Si;No;0.3432;2.13888
Mujer;1.31;1000;0;8;;8;No;Si;No;No;No;Si;No;No;13.7827;-89.8502;631;No;Si;Si;Si;Si;Si;No;0.54824;5.27512
Hombre;3.12;2000;0;5;;5;No;Si;No;No;No;Si;No;No;13.7999;-89.8777;545;No;Si;Si;Si;Si;Si;No;0.71896;7.70448
Hombre;1.4;1000;0;5;;5;No;Si;No;No;No;Si;No;No;13.71254;-89.440208;537.973022;No;No;Si;Si;Si;Si;No;0.2816;1.79432
Hombre;0.7;560;0;5;;5;No;Si;No;No;No;Si;No;No;13.8214;-89.9454;635;No;No;Si;Si;Si;Si;No;0.15752;0.9768
Hombre;0.35;300;0;5;;5;No;Si;No;No;No;Si;No;No;13.8211;-89.9452;629;No;No;Si;Si;Si;Si;No;0.09504;0.52448
Hombre;2.1;1400;0;5;;5;No;Si;No;No;No;Si;No;No;13.8192;-89.9463;616;No;No;Si;Si;Si;Si;No;0.1232;0.82456
Hombre;1.27;800;0;5;;5;No;Si;No;No;No;Si;No;No;13.8215;-89.9481;660;No;No;Si;Si;Si;Si;No;0.11792;0.72776
Hombre;0.5;600;0;5;;5;No;Si;No;No;No;Si;No;No;13.760142;-89.730071;469;No;No;Si;Si;Si;Si;No;0.20328;1.37016
Hombre;0.5;500;0;5;;5;No;Si;No;No;No;Si;No;No;13.8138;-89.9584;459;No;No;Si;Si;Si;Si;No;0.12496;0.748
Hombre;0.35;400;0;5;;5;No;Si;No;No;No;Si;No;No;13.8094;-89.956;538;No;Si;Si;Si;Si;No;No;0.13376;0.83688
Hombre;0.28;300;0;5;;5;No;Si;No;No;No;Si;No;No;13.8165;-89.9724;292;No;No;Si;Si;Si;Si;No;0.06248;0.30712
Hombre;0.4;400;0;5;;5;No;Si;No;No;No;Si;No;No;13.747304;-89.727526;416.87793;No;Si;Si;Si;Si;Si;No;0.05016;0.21912
Hombre;0.35;150;0;5;;5;No;Si;No;No;No;Si;No;No;13.8124;-89.9586;458;No;Si;Si;Si;Si;No;No;0.13992;0.89056
Hombre;0.66;500;0;5;;5;No;Si;No;No;No;Si;No;No;13.747552;-89.727462;408.569824;No;Si;Si;Si;Si;No;No;0.22352;1.41944
Hombre;0.46;400;0;5;;5;No;Si;No;No;No;Si;No;No;13.813;-89.9569;522;No;Si;Si;Si;Si;No;No;0.15488;1.00056
Mujer;0.5;300;0;5;;5;No;Si;No;No;No;No;No;No;13.8088;-89.7984;948;No;Si;No;Si;Si;Si;No;0.2112;1.47056
Hombre;0.35;350;0;8;;8;No;Si;No;No;No;No;No;No;13.8113;-89.7988;978;No;Si;No;Si;Si;Si;No;0.24376;1.25488
Hombre;1.66;1000;0;5;;5;No;Si;No;No;No;No;No;No;13.8137;-89.8001;1012;No;Si;No;Si;Si;Si;No;3.02368;2.9568
Hombre;0.69;400;0;5;;5;No;Si;No;No;No;No;No;No;13.8136;-89.7979;1015;No;Si;No;Si;Si;Si;No;0.25256;1.23992
Mujer;0.65;400;0;4;;4;No;Si;No;No;No;No;No;No;13.8154;-89.7979;1030;No;Si;No;Si;Si;Si;No;0.26928;1.50328
Mujer;0.44;288;0;8;;8;No;Si;No;No;No;No;No;No;13.8138;-89.7988;1018;No;Si;No;No;Si;Si;No;0.27192;1.00736
Hombre;0.49;300;0;5;;5;No;Si;No;No;No;No;No;No;13.8123;-89.8;983;No;Si;Si;Si;Si;Si;No;0.12232;1.09976
Hombre;7.22;6000;0;5;;5;No;Si;Si;No;No;Si;No;No;14.1318;-89.6646;886;No;Si;No;Si;Si;Si;No;0.4928;1.40536
Hombre;1.26;0;1000;;7;7;No;No;No;No;No;Si;No;No;14.0077;-89.6999;687;Si;Si;No;Si;Si;Si;Si;1.936;5.53344
Mujer;2.12;1600;0;7;;7;No;No;No;No;No;Si;No;No;14.0125;-89.7003;676;No;Si;No;Si;Si;Si;No;1.77848;5.07584
Hombre;5;4600;0;4;;4;No;Si;No;No;No;No;Si;No;13.8993;-89.5712;1064;No;Si;No;Si;Si;Si;No;4.95176;14.02368
Hombre;5.03;3600;0;4.5;;4.5;No;No;No;No;Si;Si;No;No;13.7293;-89.5007;640;No;Si;No;Si;Si;No;No;0.9592;4.46072
Mujer;0.35;250;0;5;;5;Si;Si;No;No;No;Si;No;No;13.7704;-89.4749;494;No;Si;No;Si;Si;Si;No;0.18216;0.6732
Hombre;0.5;450;0;8;;8;No;Si;No;No;No;Si;No;No;13.7469;-89.6111;555;No;Si;Si;Si;No;No;Si;1.20208;4.85
Hombre;2.1;900;650;5;3;4.2;No;Si;No;No;No;Si;No;No;13.7437;-89.525;600;Si;Si;No;Si;No;No;No;0.75416;2.97616
Hombre;2.1;950;400;8;6;7.4;Si;Si;No;No;No;No;No;No;13.7411;-89.669;399;Si;Si;Si;Si;No;No;Si;3.49712;14.38
Hombre;1;925;0;7;;7;No;Si;No;No;No;No;Si;No;13.7758;-89.6569;600;No;Si;Si;Si;No;No;Si;1.97824;6.11776
Hombre;0.7;800;0;5;;5;No;No;No;No;No;Si;No;No;13.6967;-89.5371;700;No;Si;No;Si;Si;No;No;0.37224;1.53296
Hombre;1.5;1300;0;5;;5;No;No;No;No;No;Si;No;No;13.6759;-89.5517;590;No;Si;No;Si;No;Si;No;0.34672;1.5576
Hombre;3.5;3100;0;3;;3;No;No;No;No;No;Si;No;No;13.6795;-89.5505;588;No;Si;Si;Si;Si;No;No;1.6016;8.0784
Hombre;0.35;400;0;5;;5;No;No;No;No;No;Si;No;No;13.6913;-89.5295;726;No;Si;Si;Si;No;Si;No;0.21648;0.93368
Hombre;4.82;1800;0;4;;4;No;No;No;No;No;Si;No;No;13.6861;-89.5247;791;No;Si;No;Si;No;No;No;0.55352;2.15864
Hombre;0.35;350;0;5;;5;No;No;No;No;No;Si;No;No;13.6815;-89.5367;663;No;Si;No;Si;No;No;No;0.1848;0.6424
Hombre;0.35;275;0;5;;5;No;No;No;No;No;Si;No;No;13.6664;-89.5624;646;No;Si;No;Si;Si;Si;No;0.13992;0.594
Hombre;11.9;8850;0;5.6;;5.6;No;Si;No;No;No;No;No;No;13.7961;-89.7757;713;No;Si;Si;Si;Si;Si;No;7.91824;48.08408
Hombre;4.2;2700;0;7;;7;No;Si;No;No;No;No;No;No;13.7976;-89.7758;709;No;Si;Si;Si;Si;Si;No;6.95024;29.8672
Hombre;2.26;1575;0;7;;7;No;No;No;No;Si;Si;No;No;13.7856;-89.7664;711;No;Si;Si;Si;Si;Si;No;1.98352;9.98536
Hombre;1.71;1597;0;7;;7;No;No;No;No;Si;Si;No;No;13.7752;-89.7682;644;No;Si;Si;Si;Si;Si;No;3.66696;16.17176
Hombre;2.27;1462;0;7;;7;No;Si;No;No;No;Si;No;No;13.7755;-89.7711;650;No;Si;Si;Si;Si;Si;No;3.2164;13.88992
Hombre;0.7;625;0;6;;6;No;Si;No;No;No;No;No;No;13.7993;-89.782;759;No;Si;Si;Si;Si;Si;No;1.21352;6.07464
Hombre;1.4;450;350;7;5;6.1;No;Si;No;No;No;No;Si;No;13.46779;-88.545317;923;Si;Si;Si;Si;No;Si;Si;0.12408;3.5
Hombre;4.89;4606;0;5.9;;5.9;No;No;No;No;Si;Si;No;No;13.665129;-89.439548;1011.89025;No;Si;No;No;Si;Si;Si;6.5736;33.352
