Año;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
1;Hombre;0.36;150.0;4.0;No;No;No;No;No;Si;No;No;13.695847;-88.27633;797;0.00;No;No;Si;Si;Si;Si;0.02288;0.12
1;Hombre;3;3000.0;8.0;No;No;No;No;No;Si;Si;No;13.6672222;-89.66472222;193;0.00;Si;Si;Si;Si;Si;No;5.6628;34.27688
1;Mujer;1.4;1200.0;5.2;No;No;No;No;No;Si;No;No;13.9589722;-89.51191829;672;0.00;Si;No;Si;Si;Si;No;2.05832;5.88104
1;Hombre;1;800.0;5.0;No;Si;No;No;No;No;Si;No;13.4931814;-88.417369;897;0.00;Si;No;No;No;Si;Si;0.6204;2.95
1;Mujer;1.2;1200.0;61.0;No;Si;No;No;No;No;Si;No;13.702732;-88.951163;676;0.00;Si;Si;Si;Si;Si;Si;0.81488;4.77
1;Hombre;0.5;500.0;6.0;Si;No;Si;No;No;No;No;No;13.67705567;-89.74657072;151;0.00;Si;Si;Si;Si;Si;No;0.7964;5.2052
1;Hombre;5.59;4500.0;6.0;No;No;Si;No;No;Si;No;No;13.4955404;-88.675651;29;100.00;Si;Si;Si;Si;Si;Si;2.08912;24.5
1;Mujer;0.7;500.0;7.0;No;No;No;No;No;Si;No;No;13.90942333;-89.037305;491;0.00;Si;Si;Si;Si;Si;No;1.4608;2.50448
1;Hombre;0.5;425.0;7.0;No;Si;No;No;No;No;Si;No;13.769056;-89.652689;584;0.00;Si;Si;Si;Si;No;No;1.19416;3.29648
1;Hombre;1.75;500.0;13.0;No;No;No;No;Si;Si;No;No;13.3918;-88.5846;786.9;0.00;Si;Si;Si;Si;Si;Si;0.30008;9.266667
1;Mujer;0.7;450.0;4.0;No;Si;No;No;No;No;No;No;13.521559;-88.45975;648;0.00;Si;Si;No;Si;No;Si;0.30536;1.61744
1;Hombre;0.2;50.0;5.0;No;No;No;No;No;Si;No;No;13.7366037;-88.222612;1206;0.00;Si;Si;Si;Si;No;Si;0.0264;0.176
1;Hombre;0.4;300.0;3.0;No;Si;No;No;No;No;No;No;13.4796117;-88.35549;896;100.00;Si;Si;Si;Si;Si;Si;0.31768;1.6
1;Hombre;1;1200.0;6.5;No;Si;No;No;No;No;Si;No;13.705905;-88.9508;698;0.00;Si;Si;Si;Si;Si;Si;0.84392;4.95344
1;Hombre;0.35;200.0;4.0;No;Si;No;No;No;No;No;No;13.7431271;-88.945765;708;0.00;Si;No;Si;No;Si;Si;0.06512;0.53
1;Hombre;0.63;700.0;4.0;No;No;No;Si;No;Si;No;Si;13.3287584;-88.712133;13;0.00;Si;Si;Si;No;No;Si;0.30712;1.67
1;Hombre;0.3;200.0;5.0;No;Si;No;No;No;No;Si;No;13.7833838;-88.949414;637;0.00;Si;No;Si;Si;Si;No;0.13904;0.89
1;Hombre;0.2;200.0;4.0;No;No;No;No;Si;Si;No;No;13.7599096;-88.2089268;1105;0.00;Si;Si;Si;Si;Si;Si;0.03696;0.176
1;Hombre;1.5;1000.0;5.0;No;No;No;No;No;Si;No;No;13.903018;-89.050313;565;0.00;Si;Si;Si;Si;Si;No;0.9636;3.7532
1;Hombre;0.35;300.0;15.0;No;No;No;No;No;Si;No;No;13.3744292;-88.571558;147;0.00;No;Si;Si;No;Si;Si;0.09328;1.19
1;Hombre;1.25;500.0;6.0;No;Si;No;No;No;No;No;No;13.6111821;-88.907823;834;0.00;Si;Si;Si;Si;Si;Si;0.2728;3.23
1;Hombre;0.5;400.0;4.0;Si;Si;No;Si;No;No;No;Si;13.305181;-88.56554;25;0.00;Si;Si;Si;Si;No;Si;0.50864;2.43
1;Hombre;0.5;500.0;6.0;No;No;No;No;Si;Si;No;No;13.9468183;-88.168191;1025;0.00;Si;Si;Si;No;Si;Si;1.49688;8.478
1;Mujer;2;1800.0;8.0;No;No;No;No;Si;Si;No;No;13.673864;-89.434867;974;0.00;Si;No;No;Si;Si;Si;1.22408;5.89688
1;Hombre;0.7;600.0;6.0;No;No;No;No;Si;Si;No;No;13.8970974;-88.964602;346;0.00;Si;Si;Si;Si;Si;No;0.792;1.5136
1;Hombre;0.5;500.0;4.0;No;Si;No;No;No;No;No;No;13.7800257;-88.9539;606;0.00;No;No;No;No;Si;Si;0.11792;0.81
1;Mujer;1;721.0;3.0;Si;No;No;Si;No;No;No;Si;13.349501;-88.735722;15;0.00;Si;Si;Si;Si;Si;Si;0.88792;7.35
1;Hombre;0.7;500.0;6.2;No;No;No;No;No;Si;No;No;13.887518;-89.060708;577;0.00;Si;Si;Si;Si;Si;Si;0.34056;2.06
1;Hombre;1.4;1100.0;6.0;No;Si;No;No;No;No;Si;No;13.6004287;-88.875613;991;0.00;Si;Si;Si;Si;Si;Si;0.44616;3.46
1;Hombre;1;300.0;7.0;No;Si;No;No;No;No;No;No;13.60349;-88.9358;621;0.00;Si;Si;Si;No;Si;Si;0.16632;1.81
1;Hombre;0.35;300.0;6.0;No;Si;No;No;No;No;Si;No;13.740269;-88.990525;702;0.00;Si;Si;Si;Si;Si;Si;0.25784;1.79832
1;Hombre;0.7;500.0;4.0;No;No;No;No;No;Si;No;No;13.511638;-89.404716;42;0.00;Si;Si;Si;Si;Si;No;0.88;1.7688
1;Mujer;0.4;200.0;6.0;No;No;No;No;No;Si;No;No;13.7968783;-88.167235;714;0.00;Si;Si;Si;No;Si;Si;0.264;0.84
