No.;Sexo productor;Área (Ha);Patron_Arboles_1;Patron_Edad_1;Patron_Arboles_2;Patron_Edad_2;Patron_Arboles_3;Patron_Edad_3;Patron_Arboles_4;Patron_Edad_4;Injerto_Arboles_1;Injerto_Edad_1;Injerto_Arboles_2;Injerto_Edad_2;Injerto_Arboles_3;Injerto_Edad_3;Injerto_Arboles_4;Injerto_Edad_4;Edad promedio plantas patron;Edad promedio plantas injerto;Edad promedio plantas;Densidad (plantas/Ha);Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje injertación;Aplica poda;Maneja sombra;Fertilización orgánica;Fertilización química;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
21;Hombre;0.7;300;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;428.57142857142861;0;1;0;0;0;1;0;0;13.511638;-89.438828999999998;47;0;Si;Si;Si;Si;Si;No;0.13200000000000001;0.30359999999999998
22;Hombre;0.5;80;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;NA;12;160;0;1;0;0;0;0;0;0;13.500282500000001;-88.391057000000004;565;0;NA;NA;NA;NA;NA;Si;0.72160000000000002;3.7
23;Hombre;0.7;625;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21;NA;21;892.85714285714289;0;1;0;0;0;0;1;0;13.759625;-89.654043000000001;498;0;Si;Si;Si;Si;No;Si;1.3367199999999999;4.2266399999999997
24;Mujer;1.2;700;7;NA;NA;NA;NA;NA;NA;200;5;NA;NA;NA;NA;NA;NA;7;5;6.5555555554999998;750;0;1;0;0;0;1;0;0;13.620568;-88.819901999999999;815;22.222222222222221;No;Si;No;Si;Si;Si;0.23319999999999999;1.82
25;Hombre;1;980;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;980;0;1;0;0;0;0;0;0;13.767804993;-88.94703122;632;0;NA;NA;NA;NA;NA;Si;0.67056000000000004;5.59328
26;Hombre;0.5;300;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;600;0;1;0;0;0;0;1;0;13.475166700000001;-88.554862999999997;885;0;NA;NA;NA;NA;NA;Si;0.43208000000000002;2.2438400000000001
27;Hombre;1.5;650;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;3;433.33333333333331;1;1;0;0;0;0;0;0;13.435069;-88.914502999999996;33;0;Si;Si;Si;Si;Si;Si;1.0604;6.3
28;Hombre;1.5;1500;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;1000;0;1;0;0;0;0;1;0;13.742855164;-88.992150559999999;698;0;NA;NA;NA;NA;NA;Si;0.60631999999999997;3.62
29;Hombre;0.65;200;8;100;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.6666666665999994;NA;9.6666666665999994;461.53846153846155;0;1;0;0;0;1;1;0;13.411705100000001;-88.516688000000002;389;0;Si;Si;Si;No;Si;No;8.0079999999999998E-2;0.91
30;Hombre;1;900;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;NA;11;900;0;0;0;0;0;1;0;0;13.92745;-88.643962999999999;582;0;No;No;No;Si;Si;Si;0.57991999999999999;4.0599999999999996
31;Hombre;17.47;350;5;525;6;NA;NA;NA;NA;16625;4;NA;NA;NA;NA;NA;NA;5.6;4;4.08;1001.7172295363481;0;0;0;0;1;1;0;0;13.9613657;-89.189807999999999;298;95;NA;NA;NA;NA;NA;No;43.3048;0
32;Hombre;1;150;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;150;0;1;0;0;0;0;0;0;13.6107336;-88.922049000000001;690;0;Si;Si;Si;No;Si;Si;0.15135999999999999;1.3566670000000001
33;Hombre;0.7;750;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;1071.4285714285716;0;1;0;0;0;0;0;0;13.665590271999999;-88.871478740000001;740;0;Si;Si;Si;Si;Si;Si;0.26135999999999998;1.64
34;Hombre;1.4;647;8;NA;NA;NA;NA;NA;NA;703;6;NA;NA;NA;NA;NA;NA;8;6;6.9585185185;964.28571428571433;0;1;0;0;0;1;0;0;13.846009;-89.290405000000007;414;52.074074074074076;Si;No;No;Si;Si;Si;1.4106399999999999;6.8569599999999999
35;Hombre;0.7;NA;NA;NA;NA;NA;NA;NA;NA;700;7;NA;NA;NA;NA;NA;NA;NA;7;7;1000.0000000000001;0;0;0;0;0;1;1;0;13.8559859;-88.942867000000007;545;100;Si;Si;Si;Si;Si;No;1.0516000000000001;1.4212
36;Mujer;0.18;160;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;7;888.88888888888891;0;0;0;0;1;1;0;0;13.8425691;-88.242277999999999;898;0;NA;NA;NA;NA;NA;Si;0.11264;0.44
37;Hombre;0.14000000000000001;150;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;1071.4285714285713;0;1;0;0;0;0;0;0;13.490846100000001;-88.394596000000007;656;0;Si;Si;No;No;Si;Si;0.36080000000000001;2
38;Mujer;0.5;300;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;600;0;1;0;0;0;0;0;0;13.5124216;-88.386229999999998;519;0;Si;Si;No;Si;Si;Si;0.86680000000000001;4.6500000000000004
39;Hombre;0.35;425;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;7;1214.2857142857144;0;0;0;0;0;0;1;0;13.747342;-89.666438999999997;434;0;Si;Si;Si;Si;No;Si;0.70487999999999995;2.2176
40;Hombre;0.7;550;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;785.71428571428578;0;1;0;0;0;0;0;0;13.816889;-89.090609999999998;605;0;Si;Si;Si;Si;Si;No;0.77;0.80079999999999996
41;Hombre;13;11000;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;846.15384615384619;0;0;0;0;0;1;0;0;13.803528999999999;-88.173575999999997;779;0;Si;Si;Si;No;Si;Si;4.7168000000000001;30.712
42;Hombre;0.5;100;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;NA;12;200;0;1;0;0;0;0;1;0;13.508086799999999;-88.871947000000006;200;0;NA;NA;NA;NA;NA;No;0.21736;2.27
43;Mujer;0.7;650;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;928.57142857142867;0;1;0;0;0;0;0;0;13.764488;-89.721993999999995;469;0;Si;Si;Si;Si;No;No;1.7951999999999999;5.5668800000000003
44;Hombre;13.3;500;5;3500;6;3500;7;NA;NA;250;5;NA;NA;NA;NA;NA;NA;6.4;5;6.3548387098000001;582.70676691729318;0;1;0;0;0;0;1;0;13.458779;-88.536862999999997;949;3.225806451612903;No;No;Si;No;Si;Si;0.16808000000000001;5.2
45;Hombre;3;1000;5;500;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.3333333332999997;NA;5.3333333332999997;500;0;0;0;0;1;1;0;0;13.803877999999999;-88.233977999999993;957;0;No;Si;Si;Si;Si;Si;1.23112;4.4000000000000004
46;Mujer;0.7;300;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;428.57142857142861;0;0;0;0;0;1;1;0;13.8560289;-88.942948000000001;544;0;Si;Si;Si;Si;Si;No;0.70399999999999996;0.91959999999999997
47;Hombre;1;1040;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;1040;0;1;0;0;0;0;0;0;13.727542;-89.454825;626;0;Si;No;No;Si;Si;Si;0.77791999999999994;3.9837600000000002
48;Hombre;0.3;350;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;1166.6666666666667;0;0;0;0;1;1;0;0;13.27608;-88.408680000000004;15;0;Si;Si;Si;Si;Si;Si;0.12056;0.55000000000000004
49;Hombre;0.22;250;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;1136.3636363636363;0;0;0;0;1;1;0;0;13.9256229;-88.091379000000003;823;0;Si;Si;Si;No;Si;Si;0;0.2
50;Hombre;0.12;150;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;1250;0;0;1;0;0;1;0;0;13.745073333000001;-88.160863329999998;928;0;Si;Si;Si;Si;Si;Si;0.15664;1.012
51;Mujer;0.7;300;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;428.57142857142861;0;1;0;0;0;1;1;0;14.152573500000001;-89.657697999999996;895;0;Si;No;Si;Si;Si;Si;1.22584;3.5024000000000002
52;Hombre;0.3;200;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;666.66666666666674;0;1;0;0;0;0;1;0;13.783231199999999;-88.949427999999997;637;0;Si;Si;Si;Si;Si;Si;0.10911999999999999;0.81
53;Hombre;0.36;150;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;416.66666666666669;0;0;0;0;0;1;0;0;13.695847000000001;-88.276330000000002;797;0;No;No;Si;Si;Si;Si;2.2880000000000001E-2;0.12
54;Hombre;3;3000;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;8;1000;0;0;0;0;0;1;1;0;13.667222199999999;-89.664722220000002;193;0;Si;Si;Si;Si;Si;No;5.6627999999999998;34.276879999999998
55;Mujer;1.4;500;4;700;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.1666666667000003;NA;5.1666666667000003;857.14285714285722;0;0;0;0;0;1;0;0;13.958972204;-89.511918289999997;672;0;Si;No;Si;Si;Si;No;2.0583200000000001;5.8810399999999996
56;Hombre;1;800;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;800;0;1;0;0;0;0;1;0;13.493181399999999;-88.417368999999994;897;0;Si;No;No;No;Si;Si;0.62039999999999995;2.95
57;Mujer;1.2;600;5;600;117;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;61;NA;61;1000;0;1;0;0;0;0;1;0;13.702731999999999;-88.951162999999994;676;0;Si;Si;Si;Si;Si;Si;0.81488000000000005;4.7699999999999996
58;Hombre;0.5;500;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;1000;1;0;1;0;0;0;0;0;13.677055667999999;-89.746570719999994;151;0;Si;Si;Si;Si;Si;No;0.7964;5.2051999999999996
59;Hombre;5.59;NA;NA;NA;NA;NA;NA;NA;NA;4500;6;NA;NA;NA;NA;NA;NA;NA;6;6;805.00894454382831;0;0;1;0;0;1;0;0;13.495540399999999;-88.675651000000002;29;100;Si;Si;Si;Si;Si;Si;2.0891199999999999;24.5
60;Mujer;0.7;500;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;7;714.28571428571433;0;0;0;0;0;1;0;0;13.909423332999999;-89.037305000000003;491;0;Si;Si;Si;Si;Si;No;1.4608000000000001;2.50448
61;Hombre;0.7;600;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;857.14285714285722;0;0;0;0;0;0;1;0;13.888387;-88.898359999999997;419;0;NA;NA;NA;NA;NA;No;0.86240000000000006;1.1439999999999999
62;Mujer;0.7;400;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;3;571.42857142857144;0;1;0;0;0;0;0;0;13.9150873;-89.737418000000005;1217;0;NA;NA;NA;NA;NA;No;0.35727999999999999;4.01816
63;Hombre;0.5;425;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;7;850;0;1;0;0;0;0;1;0;13.769056000000001;-89.652688999999995;584;0;Si;Si;Si;Si;No;No;1.1941600000000001;3.2964799999999999
64;Mujer;0.35;300;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;857.14285714285722;0;0;0;0;0;0;1;0;13.8882656;-88.898830000000004;421;0;NA;NA;NA;NA;NA;No;0.25519999999999998;0.60719999999999996
65;Hombre;1.75;500;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;NA;13;285.71428571428572;0;0;0;0;1;1;0;0;13.3918;-88.584599999999995;786.9;0;Si;Si;Si;Si;Si;Si;0.30008000000000001;9.266667
66;Mujer;0.7;450;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;642.85714285714289;0;1;0;0;0;0;0;0;13.521559;-88.45975;648;0;Si;Si;No;Si;No;Si;0.30536000000000002;1.61744
67;Hombre;0.2;50;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;250;0;0;0;0;0;1;0;0;13.7366037;-88.222611999999998;1206;0;Si;Si;Si;Si;No;Si;2.64E-2;0.17599999999999999
68;Hombre;0.4;NA;NA;NA;NA;NA;NA;NA;NA;300;3;NA;NA;NA;NA;NA;NA;NA;3;3;750;0;1;0;0;0;0;0;0;13.4796117;-88.355490000000003;896;100;Si;Si;Si;Si;Si;Si;0.31768000000000002;1.6
69;Hombre;1;300;5;900;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.5;NA;6.5;1200;0;1;0;0;0;0;1;0;13.705905;-88.950800000000001;698;0;Si;Si;Si;Si;Si;Si;0.84392;4.9534399999999996
70;Hombre;0.35;200;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;571.42857142857144;0;1;0;0;0;0;0;0;13.743127100000001;-88.945764999999994;708;0;Si;No;Si;No;Si;Si;6.5119999999999997E-2;0.53
71;Hombre;0.63;700;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;1111.1111111111111;0;0;0;1;0;1;0;1;13.3287584;-88.712132999999994;13;0;Si;Si;Si;No;No;Si;0.30712;1.67
72;Hombre;0.3;200;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;666.66666666666674;0;1;0;0;0;0;1;0;13.783383799999999;-88.949414000000004;637;0;Si;No;Si;Si;Si;No;0.13904;0.89
73;Hombre;0.2;200;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;1000;0;0;0;0;1;1;0;0;13.7599096;-88.2089268;1105;0;Si;Si;Si;Si;Si;Si;3.696E-2;0.17599999999999999
74;Hombre;2.1;900;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;428.57142857142856;0;1;0;0;0;1;0;0;13.788081999999999;-89.350110000000001;481;0;NA;NA;NA;NA;NA;No;1.5576000000000001;2.0064000000000002
75;Hombre;0.45;55;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;122.22222222222221;0;1;0;0;0;0;0;0;13.6293858;-88.935516000000007;570;0;NA;NA;NA;NA;NA;Si;0.13904;1.1399999999999999
76;Hombre;1.5;1000;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;666.66666666666663;0;0;0;0;0;1;0;0;13.903017999999999;-89.050313000000003;565;0;Si;Si;Si;Si;Si;No;0.96360000000000001;3.7532000000000001
77;Hombre;0.35;300;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;NA;15;857.14285714285722;0;0;0;0;0;1;0;0;13.3744292;-88.571557999999996;147;0;No;Si;Si;No;Si;Si;9.3280000000000002E-2;1.19
78;Hombre;1.25;500;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;400;0;1;0;0;0;0;0;0;13.611182100000001;-88.907822999999993;834;0;Si;Si;Si;Si;Si;Si;0.27279999999999999;3.23
79;Hombre;0.5;200;3;200;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;800;1;1;0;1;0;0;0;1;13.305180999999999;-88.565539999999999;25;0;Si;Si;Si;Si;No;Si;0.50863999999999998;2.4300000000000002
80;Hombre;0.5;500;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;1000;0;0;0;0;1;1;0;0;13.9468183;-88.168190999999993;1025;0;Si;Si;Si;No;Si;Si;1.49688;8.4779999999999998
81;Mujer;2;1800;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;8;900;0;0;0;0;1;1;0;0;13.673864;-89.434866999999997;974;0;Si;No;No;Si;Si;Si;1.2240800000000001;5.8968800000000003
