Fecha;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
1;0;0.5;425;7;0;1;0;0;0;0;1;0;13.769056;-89.652689;584;0;1;1;1;1;0;0;1.19416;3.29648
1;0;1.75;500;13;0;0;0;0;1;1;0;0;13.3918;-88.5846;786.9;0;1;1;1;1;1;1;0.30008;9.266667
1;1;0.7;450;4;0;1;0;0;0;0;0;0;13.521559;-88.45975;648;0;1;1;0;1;0;1;0.30536;1.61744
1;0;0.2;50;5;0;0;0;0;0;1;0;0;13.7366037;-88.222612;1206;0;1;1;1;1;0;1;0.0264;0.176
1;0;0.4;300;3;0;1;0;0;0;0;0;0;13.4796117;-88.35549;896;100;1;1;1;1;1;1;0.31768;1.6
1;0;1;1200;6.5;0;1;0;0;0;0;1;0;13.705905;-88.9508;698;0;1;1;1;1;1;1;0.84392;4.95344
1;0;0.35;200;4;0;1;0;0;0;0;0;0;13.7431271;-88.945765;708;0;1;0;1;0;1;1;0.06512;0.53
1;0;0.63;700;4;0;0;0;1;0;1;0;1;13.3287584;-88.712133;13;0;1;1;1;0;0;1;0.30712;1.67
1;0;0.3;200;5;0;1;0;0;0;0;1;0;13.7833838;-88.949414;637;0;1;0;1;1;1;0;0.13904;0.89
1;0;0.2;200;4;0;0;0;0;1;1;0;0;13.7599096;-88.2089268;1105;0;1;1;1;1;1;1;0.03696;0.176
1;0;1.5;1000;5;0;0;0;0;0;1;0;0;13.903018;-89.050313;565;0;1;1;1;1;1;0;0.9636;3.7532
1;0;0.35;300;15;0;0;0;0;0;1;0;0;13.3744292;-88.571558;147;0;0;1;1;0;1;1;0.09328;1.19
1;0;1.25;500;6;0;1;0;0;0;0;0;0;13.6111821;-88.907823;834;0;1;1;1;1;1;1;0.2728;3.23
1;0;0.5;400;4;1;1;0;1;0;0;0;1;13.305181;-88.56554;25;0;1;1;1;1;0;1;0.50864;2.43
1;0;0.5;500;6;0;0;0;0;1;1;0;0;13.9468183;-88.168191;1025;0;1;1;1;0;1;1;1.49688;8.478
1;1;2;1800;8;0;0;0;0;1;1;0;0;13.673864;-89.434867;974;0;1;0;0;1;1;1;1.22408;5.89688
1;0;0.7;600;6;0;0;0;0;1;1;0;0;13.8970974;-88.964602;346;0;1;1;1;1;1;0;0.792;1.5136
1;0;0.5;500;4;0;1;0;0;0;0;0;0;13.7800257;-88.9539;606;0;0;0;0;0;1;1;0.11792;0.81
1;1;1;721;3;1;0;0;1;0;0;0;1;13.349501;-88.735722;15;0;1;1;1;1;1;1;0.88792;7.35
1;0;0.7;500;6.2;0;0;0;0;0;1;0;0;13.887518;-89.060708;577;0;1;1;1;1;1;1;0.34056;2.06
1;0;1.4;1100;6;0;1;0;0;0;0;1;0;13.6004287;-88.875613;991;0;1;1;1;1;1;1;0.44616;3.46
1;0;1;300;7;0;1;0;0;0;0;0;0;13.60349;-88.9358;621;0;1;1;1;0;1;1;0.16632;1.81
1;0;0.35;300;6;0;1;0;0;0;0;1;0;13.740269;-88.990525;702;0;1;1;1;1;1;1;0.25784;1.79832
1;0;0.7;500;4;0;0;0;0;0;1;0;0;13.511638;-89.404716;42;0;1;1;1;1;1;0;0.88;1.7688
1;1;0.4;200;6;0;0;0;0;0;1;0;0;13.7968783;-88.167235;714;0;1;1;1;0;1;1;0.264;0.84
1;0;3.5;2500;8;1;1;0;0;0;1;0;0;13.70690167;-89.71488;220;100;1;1;1;1;1;0;5.34952;28.20576
1;0;0.25;180;7;0;1;0;0;0;0;1;0;13.685324;-88.962793;610;0;1;1;1;1;1;1;0.19448;1.34
1;0;2;2000;3.6;1;1;0;0;0;0;0;0;13.47479817;-89.09598265;55;37.5;1;1;1;1;1;0;1.19592;8.33
1;0;0.03;30;10;1;0;0;0;0;1;0;0;13.5873975;-88.571213;49;0;1;1;1;1;1;1;0.05544;0.28776
1;0;1.5;500;13;0;1;0;0;0;0;0;0;13.32619212;-88.4192077;65;0;1;1;1;0;1;1;0.19976;3.66
1;0;0.35;200;5;0;1;0;0;0;1;0;0;13.8730354;-89.105913;819;0;1;1;1;1;1;0;0.374;0.572
1;0;1;800;4;0;0;0;0;1;1;0;0;13.75545333;-88.19406833;920;0;1;1;1;1;1;1;0.11176;0.924
1;1;0.09;100;4;0;0;0;0;1;1;0;0;13.809893;-88.254601;928;0;1;1;1;1;1;1;0.02376;0.11
1;0;5;3000;4;0;1;0;0;0;0;1;0;13.6228;-89.2958;754;0;1;1;1;1;1;0;1.5312;4.90512
1;0;0.5;400;5;1;1;0;1;0;0;0;1;13.298781;-88.563582;25;0;1;1;1;1;0;1;0.2552;1.59
1;0;0.35;200;8;0;1;0;0;0;0;1;0;13.379;-88.512;212;0;1;1;1;1;1;1;0.2332;1.36
1;0;4.2;3800;4.9;0;1;0;0;0;0;0;0;13.7744177;-89.17045;444;5.26;1;1;1;1;1;0;0.99088;5.99
1;1;1;900;5;0;0;0;0;1;1;0;0;13.7880068;-89.080402;654;0;1;1;1;1;1;0;1.01552;2.29768
1;0;1.2;1200;6;1;0;1;0;0;0;0;0;13.921778;-89.832917;8;0;0;1;1;1;0;0;1.22848;6.46712
1;0;4.2;4000;5;0;1;0;0;0;0;0;0;13.725098;-89.031638;698;0;1;1;0;1;1;1;1.27424;8.09
1;0;0.7;500;7;0;1;0;0;0;1;0;0;13.8087419;-89.146634;486;0;1;1;1;1;1;0;0.8844;1.2892
1;0;0.35;250;4;0;0;1;0;0;1;0;0;13.9889806;-89.806507;542;0;1;1;1;1;1;0;0.17424;0.94336
1;0;0.35;300;4;0;0;0;0;1;1;0;0;13.7826904;-89.075755;628;0;1;1;1;1;1;0;0.44;0.5456
1;0;2.8;1800;6;0;0;0;0;0;1;0;0;13.8880355;-88.957344;399;0;1;1;1;1;1;0;0.858;1.4168
1;0;0.35;300;4;0;1;0;0;0;0;1;0;13.7020587;-88.95346;670;0;1;1;0;1;1;1;0.1584;1.22
1;0;0.5;125;4;0;1;0;0;0;0;0;0;13.4879242;-88.352487;849;0;0;1;1;1;1;1;0.09592;0.45
1;0;0.7;525;6;0;1;0;0;0;0;1;0;13.7682947;-89.683064;545;0;1;0;1;1;0;0;1.09736;3.4892
1;0;1;950;8;1;0;0;0;0;1;1;0;13.694444;-89.658056;298;0;1;1;1;1;0;1;0.9592;3.81
1;0;2.5;200;5;0;1;0;0;0;0;0;0;13.465375;-88.38033;490;0;1;1;1;0;1;1;0.36168;1.95
1;0;0.7;600;11;0;0;0;0;1;1;0;0;13.7615;-89.4332;469;0;1;0;1;1;1;0;0.98384;4.39296
1;0;0.5;250;8;0;1;0;0;0;0;0;0;13.4967631;-88.303741;714;0;1;1;1;1;1;1;0.09944;0.5
1;0;4;2520;4;0;1;0;0;0;0;0;0;13.58846444;-88.94097729;554;0;1;1;1;1;1;1;0.46112;4.48
1;0;0.7;350;7;0;0;0;0;0;0;1;0;13.768016;-89.623535;700;0;1;0;1;1;0;0;0.89848;2.50096
1;1;0.8;200;4;0;1;0;0;0;0;0;0;13.3271388;-88.55634;54;0;1;1;1;1;0;1;0.34672;1.75
1;1;0.3;250;3;0;0;0;0;1;1;0;0;13.6808831;-88.925614;595;0;1;1;1;1;1;1;0.11968;0.88
1;0;1;150;5;0;1;0;0;0;0;0;0;13.6673144;-88.959564;480;0;1;1;1;1;1;1;0.1848;2.02
1;0;1;500;6;1;1;0;0;0;0;1;0;13.44464;-89.199369;4;0;1;1;1;1;1;0;1.2408;1.7776
1;1;0.7;600;5;0;0;0;0;1;1;0;0;13.7800295;-89.117737;613;0;1;1;1;1;1;0;0.88;0.946
1;0;2;1800;6;1;1;0;0;0;1;0;0;13.7034896;-89.714855;215;0;1;1;1;1;1;0;3.18384;15.97816
